dataset,subset,assay,model_size,precision,backend,metric_name,metric_value,pytorch_metric,delta_from_pytorch,threshold,passed,variants,cache_dir,error
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,q8_0,cpu,spearman,-0.010204684388368707,-0.010693150789389146,0.000488466401020439,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,q8_0,cpu,pearson,0.03644544981043359,0.0358256864480264,0.0006197633624071899,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,q8_0,cpu,kendall_tau_b,-0.006386424743406939,-0.006672692710819009,0.0002862679674120695,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,q8_0,cpu,top10_overlap,0.11,0.11,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,q8_0,cpu,bottom10_overlap,0.16,0.16,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,q4_k_m,cpu,spearman,-0.018824341050233142,-0.010693150789389146,-0.008131190260843996,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,q4_k_m,cpu,pearson,0.037668362307594114,0.0358256864480264,0.0018426758595677106,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,q4_k_m,cpu,kendall_tau_b,-0.0115836299645772,-0.006672692710819009,-0.0049109372537581904,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,q4_k_m,cpu,top10_overlap,0.11,0.11,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,q4_k_m,cpu,bottom10_overlap,0.16,0.16,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,q4_k_s,cpu,spearman,-0.015086451267488683,-0.010693150789389146,-0.004393300478099537,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
